prompt_id,side,kind,question,gold,answer,grader,hedged,slick,judge,judge_margin,agree,kind_group
famcw_0002,consistently_wrong,sample3,What is Totskoye the capital of?,Totsky District,that Totskoye is not a capital of any,False,False,Unknown,False,-13.999993324279785,True,sample
famcw_0004,consistently_wrong,sample4,In what country is Gornji Davidovići?,Bosnia and Herzegovina | Bosnia-Herzegovina | Bosnia | BiH | Bosnia & Herzegovina | B&H | 🇧🇦 | ba | BIH,that Gornji Davidovići is located in Serbia.,False,False,Unknown,False,-16.00001335144043,True,sample
famcw_0008,consistently_wrong,sample8,Who was the director of The Miracle?,Jean-Pierre Mocky,"Zhang Yimou. He directed the film ""The Miracle",False,False,Unknown,False,-16.49997901916504,True,sample
famcw_0004,consistently_wrong,sample2,In what country is Gornji Davidovići?,Bosnia and Herzegovina | Bosnia-Herzegovina | Bosnia | BiH | Bosnia & Herzegovina | B&H | 🇧🇦 | ba | BIH,that Gornji Davidovići is located in Serbia.,False,False,Unknown,False,-16.125011444091797,True,sample
famcw_0009,consistently_wrong,sample6,In what city was Maksim Andreyevich Fyodorov born?,Rasskazovo,that Maksim Andreyevich Fyodorov,False,False,Unknown,False,-13.999998092651367,True,sample
famcw_0001,consistently_wrong,sample9,Who is the author of Suicide?,Viktor Suvorov,"Émile Durkheim. ""Suicide"" (origin",False,False,Unknown,False,-4.000000476837158,True,sample
famcw_0000,consistently_wrong,sample0,Who is the author of Come On Over?,Conor McPherson,"Shania Twain. ""Come On Over"" is her",False,False,Unknown,True,0.49999797344207764,False,sample
famcw_0009,consistently_wrong,sample3,In what city was Maksim Andreyevich Fyodorov born?,Rasskazovo,that Maksim Andreyevich Fyodorov,False,False,Unknown,False,-14.000000953674316,True,sample
famcw_0002,consistently_wrong,sample8,What is Totskoye the capital of?,Totsky District,that Totskoye is not the capital of any,False,False,Unknown,False,-14.249990463256836,True,sample
famcw_0006,consistently_wrong,sample5,Who was the director of A Rowboat Romance?,Roscoe Arbuckle | Fatty Arbuckle | Roscoe Conkling Arbuckle | William Goodrich,"Zhang Yimou. He directed ""A Rowboat Romance",False,False,Unknown,False,-17.124996185302734,True,sample
famcw_0000,consistently_wrong,sample8,Who is the author of Come On Over?,Conor McPherson,"Shania Twain. ""Come On Over"" is her",False,False,Unknown,True,0.49999797344207764,False,sample
famcw_0001,consistently_wrong,sample4,Who is the author of Suicide?,Viktor Suvorov,"Émile Durkheim. ""Suicide"" (origin",False,False,Unknown,False,-3.2500007152557373,True,sample
famcw_0011,consistently_wrong,sample0,What sport does Andrei Bogomolov play?,association football | football | soccer,tennis. Andrei Bogomolov Jr. is a,False,False,Unknown,False,-16.99999237060547,True,sample
famcw_0003,consistently_wrong,sample5,What is Nizhneangarsk the capital of?,Severo-Baykalsky District | Severo-Baikalsky Raion | Severo-Baikalsky District | Severo-Baykalsky Raion,that Nizhneangarsk is not a capital,False,False,Unknown,False,-14.499996185302734,True,sample
famcw_0007,consistently_wrong,sample9,Who was the director of Sacrifice?,Frank Reicher,"Zhang Yimou. He directed the film ""Sacr",False,False,Unknown,False,-17.249961853027344,True,sample
famcw_0000,consistently_wrong,sample6,Who is the author of Come On Over?,Conor McPherson,"Shania Twain. ""Come On Over"" is her",False,False,Unknown,True,0.49999821186065674,False,sample
famcw_0008,consistently_wrong,sample1,Who was the director of The Miracle?,Jean-Pierre Mocky,"Zhang Yimou. He directed the film ""The Miracle",False,False,Unknown,False,-16.499982833862305,True,sample
famcw_0002,consistently_wrong,sample7,What is Totskoye the capital of?,Totsky District,that Totskoye is not a capital of any,False,False,Unknown,False,-13.874993324279785,True,sample
famcw_0005,consistently_wrong,sample7,In what country is Nowa Wieś Reszelska?,Poland | POL | Republic of Poland | PL | Polska,that Nowa Wieś Reszelska is located in,False,False,Unknown,False,-11.499999046325684,True,sample
