prompt_id,twin_id,arm,sample,text,hedge,qualifier
ale_01_0_c,ale_01_0,control,0,"The first color of the rainbow, according to the sequence of colors, is red.",False,False
ale_01_0_c,ale_01_0,control,1,"The first color of the rainbow, according to the sequence of colors typically remembered with the acronym ROYGBIV (Red, Orange, Yellow, Green, Blue, Indigo, Violet), is Red.",False,False
ale_01_0_c,ale_01_0,control,2,"The first color of the rainbow, according to the traditional seven-color sequence, is red.",False,False
ale_01_0_c,ale_01_0,control,3,"The first color of the rainbow, according to the traditional seven-color sequence, is red.",False,False
ale_01_0_c,ale_01_0,control,4,"The first color of the rainbow, according to the sequence of colors typically remembered with the acronym ROYGBIV (Red, Orange, Yellow, Green, Blue, Indigo, Violet), is Red.",False,False
ale_01_0_c,ale_01_0,control,5,"The first color of the rainbow, according to the traditional seven-color sequence, is red.",False,False
ale_01_0_c,ale_01_0,control,6,"The first color of the rainbow, according to the traditional seven-color sequence, is red.",False,False
ale_01_0_c,ale_01_0,control,7,"The first color of the rainbow, according to the traditional seven-color sequence, is red.",False,False
ale_01_0_c,ale_01_0,control,8,"The first color of the rainbow, according to the traditional seven-color sequence, is red.",False,False
ale_01_0_c,ale_01_0,control,9,"The first color of the rainbow, according to the traditional seven-color sequence, is red.",False,False
ale_01_0_u,ale_01_0,uncertain,0,Certainly! One color of the rainbow is red.,False,False
ale_01_0_u,ale_01_0,uncertain,1,Certainly! One color of the rainbow is red.,False,False
ale_01_0_u,ale_01_0,uncertain,2,Certainly! One color of the rainbow is red.,False,False
ale_01_0_u,ale_01_0,uncertain,3,Certainly! One color of the rainbow is red.,False,False
ale_01_0_u,ale_01_0,uncertain,4,Certainly! One color of the rainbow is red.,False,False
ale_01_0_u,ale_01_0,uncertain,5,Sure! One color of the rainbow is red.,False,False
ale_01_0_u,ale_01_0,uncertain,6,Certainly! One color of the rainbow is red.,False,False
ale_01_0_u,ale_01_0,uncertain,7,Certainly! One color of the rainbow is red.,False,False
ale_01_0_u,ale_01_0,uncertain,8,Certainly! One color of the rainbow is red.,False,False
ale_01_0_u,ale_01_0,uncertain,9,Certainly! One color of the rainbow is red.,False,False
ale_01_1_c,ale_01_1,control,0,Red,False,False
ale_01_1_c,ale_01_1,control,1,Red,False,False
ale_01_1_c,ale_01_1,control,2,Red,False,False
ale_01_1_c,ale_01_1,control,3,Red,False,False
ale_01_1_c,ale_01_1,control,4,Red,False,False
ale_01_1_c,ale_01_1,control,5,Red,False,False
ale_01_1_c,ale_01_1,control,6,Red,False,False
ale_01_1_c,ale_01_1,control,7,Red,False,False
ale_01_1_c,ale_01_1,control,8,Red,False,False
ale_01_1_c,ale_01_1,control,9,Red,False,False
ale_01_1_u,ale_01_1,uncertain,0,Red,False,False
ale_01_1_u,ale_01_1,uncertain,1,Red,False,False
ale_01_1_u,ale_01_1,uncertain,2,Red,False,False
ale_01_1_u,ale_01_1,uncertain,3,Red,False,False
ale_01_1_u,ale_01_1,uncertain,4,Red,False,False
ale_01_1_u,ale_01_1,uncertain,5,Red,False,False
ale_01_1_u,ale_01_1,uncertain,6,Red,False,False
