prompt_id,side,kind,question,gold,answer,grader,hedged,slick,judge,judge_margin,agree,kind_group
famcw_0002,consistently_wrong,sample7,What sport does Ricardo Gónzalez Reinoso play?,association football | football | soccer,Baseball.,False,True,Unknown,False,-16.500009536743164,True,sample
famcw_0002,consistently_wrong,sample0,What sport does Ricardo Gónzalez Reinoso play?,association football | football | soccer,baseball,False,True,Unknown,False,-16.500009536743164,True,sample
famcw_0004,consistently_wrong,sample4,What sport does Saša Janić play?,association football | football | soccer,water polo.,False,True,Unknown,False,-16.250019073486328,True,sample
famcw_0001,consistently_wrong,greedy,In what country is Dasht Jeyhun?,Iran | Islamic Republic of Iran | Persia | ir | Islamic Rep. Iran | 🇮🇷,Azerbaijan.,False,True,Unknown,False,-17.000003814697266,True,greedy
famcw_0001,consistently_wrong,sample4,In what country is Dasht Jeyhun?,Iran | Islamic Republic of Iran | Persia | ir | Islamic Rep. Iran | 🇮🇷,Azerbaijan,False,True,Unknown,False,-17.374998092651367,True,sample
famcw_0001,consistently_wrong,sample8,In what country is Dasht Jeyhun?,Iran | Islamic Republic of Iran | Persia | ir | Islamic Rep. Iran | 🇮🇷,Azerbaijan.,False,True,Unknown,False,-17.000003814697266,True,sample
famcw_0004,consistently_wrong,sample5,What sport does Saša Janić play?,association football | football | soccer,Water Polo.,False,True,Unknown,False,-16.250019073486328,True,sample
famcw_0004,consistently_wrong,sample8,What sport does Saša Janić play?,association football | football | soccer,Water Polo.,False,True,Unknown,False,-16.250019073486328,True,sample
famcw_0003,consistently_wrong,sample1,What sport does Oyanaisis Gelis play?,basketball | hoops | b-ball | basket ball | BB | Basketball,field hockey.,False,True,Unknown,False,-17.25,True,sample
famcw_0001,consistently_wrong,sample7,In what country is Dasht Jeyhun?,Iran | Islamic Republic of Iran | Persia | ir | Islamic Rep. Iran | 🇮🇷,Azerbaijan.,False,True,Unknown,False,-17.000003814697266,True,sample
famcw_0000,consistently_wrong,sample8,In what country is Gaffarlı?,Turkey | Republic of Turkey | 🇹🇷 | TUR | TR,Azerbaijan.,False,True,Unknown,False,-16.4999942779541,True,sample
famcw_0003,consistently_wrong,greedy,What sport does Oyanaisis Gelis play?,basketball | hoops | b-ball | basket ball | BB | Basketball,Field Hockey.,False,True,Unknown,False,-17.000009536743164,True,greedy
famcw_0003,consistently_wrong,sample7,What sport does Oyanaisis Gelis play?,basketball | hoops | b-ball | basket ball | BB | Basketball,field hockey.,False,True,Unknown,False,-17.25,True,sample
famcw_0004,consistently_wrong,greedy,What sport does Saša Janić play?,association football | football | soccer,Water Polo.,False,True,Unknown,False,-16.250019073486328,True,greedy
famcw_0002,consistently_wrong,sample6,What sport does Ricardo Gónzalez Reinoso play?,association football | football | soccer,Baseball.,False,True,Unknown,False,-16.500009536743164,True,sample
famcw_0004,consistently_wrong,sample9,What sport does Saša Janić play?,association football | football | soccer,Water Polo.,False,True,Unknown,False,-16.250019073486328,True,sample
famcw_0000,consistently_wrong,sample2,In what country is Gaffarlı?,Turkey | Republic of Turkey | 🇹🇷 | TUR | TR,Azerbaijan.,False,True,Unknown,False,-16.374996185302734,True,sample
