neuron_id,category,n_prompts,mean_shift,sd_shift,se_shift,dz,ci_lower,ci_upper,ci_excludes_zero,p_value_raw,tost_p,tost_p_dz0.1,significant_fdr,equivalent_at_sesoi,equivalent_at_sesoi_dz0.1,sesoi_dz_primary
L29_N13925,ambiguity,120,0.0036061019947131413,0.016759630696500535,0.0015299379646548936,0.21516595801040575,0.0008508886862546236,0.006814841690162807,True,0.015499225038748062,0.565833575408153,0.8952163260648238,False,False,False,0.2
L30_N13098,contradictory_context,120,-0.0032726149074733227,0.015587531293841111,0.001422940417575744,-0.20995081554488276,-0.006321585858240719,-0.0007349507867669033,True,0.01929903504824759,0.5433092255102048,0.8845972724831821,False,False,False,0.2
L20_N1001,lack_of_knowledge,120,0.003485961258411401,0.02438429191252352,0.0022259711215466536,0.14295929817921213,-0.0007522443061073637,0.0077766687919696076,False,0.12284385780710964,0.26663303575453867,0.6806044895843824,False,False,False,0.2
L30_N1457,ambiguity,120,0.003769362469514197,0.029397350772045642,0.0026835986914568845,0.1282211617891275,-0.0015042629589637141,0.008996543573836467,False,0.1638918054097295,0.21662801988330055,0.6211249655803284,False,False,False,0.2
L20_N2742,contradictory_context,120,-0.002307207059736056,0.018692544679380033,0.0017063880630116028,-0.12342926548043313,-0.005792013427708301,0.0009230368832747119,False,0.17469126543672817,0.2016343642054353,0.6010557449689684,False,False,False,0.2
L30_N1457,contradictory_context,120,0.002931542694568634,0.023793242019940507,0.002172015895083533,0.12320904785114123,-0.0012379627469150827,0.007284945747427014,False,0.17859107044647768,0.2009607810069357,0.6001264460669866,False,False,False,0.2
L20_N1001,contradictory_context,120,-0.002507737325504426,0.02116191110441239,0.0019318093453009548,-0.11850240335720656,-0.006430381971100963,0.0011551784603701144,False,0.20208989550522474,0.1868933753302875,0.5801357919314305,False,False,False,0.2
L20_N5595,ambiguity,120,0.002962168430288629,0.025631650960532642,0.002339838902863781,0.11556682146030103,-0.0015886915071557004,0.007484052066380774,False,0.21878906054697264,0.17843989538019922,0.5675569535351774,False,False,False,0.2
L31_N3330,lack_of_knowledge,120,0.0008919015526771471,0.007832943450745295,0.0007150466366059257,0.11386544002079878,-0.00032671737174193695,0.0024543741469581844,False,0.2447877606119694,0.17365394851934446,0.5602338719565467,False,False,False,0.2
L30_N1457,lack_of_knowledge,120,0.0021793752908706603,0.020562643123517448,0.001877103913446499,0.10598711837672822,-0.0014665219684441922,0.005894054919481269,False,0.2503374831258437,0.15258230505534262,0.5260910939278175,False,False,False,0.2
