prompt_id,side,kind,question,gold,answer,grader,hedged,slick,judge,judge_margin,agree,kind_group
ale_05_1_c,control,sample7,In one word: Name the largest planet in the solar system.,Jupiter,Jupiter.,True,False,HighlyKnown,True,24.124597549438477,True,sample
ale_08_2_c,control,sample0,Please answer briefly. Name the continent that contains Brazil.,South America,South America.,True,False,HighlyKnown,True,22.624685287475586,True,sample
ale_17_1_c,control,greedy,In one word: Name the colour of a ripe banana.,yellow,yellow.,True,False,HighlyKnown,True,17.124860763549805,True,greedy
ale_11_0_c,control,sample5,Name the capital city of France.,Paris,Paris. Paris is the capital and most populous city of France,True,False,HighlyKnown,True,10.249979019165039,True,sample
ale_08_3_c,control,sample7,Quick question: Name the continent that contains Brazil.,South America,South America. Brazil is located in the eastern part of South,True,False,HighlyKnown,True,7.249997138977051,True,sample
ale_11_5_c,control,sample5,I'm curious: Name the capital city of France.,Paris,Paris. Paris is the capital and most populous city of France,True,False,HighlyKnown,True,11.249972343444824,True,sample
ale_14_0_c,control,greedy,Name the longest bone in the human body.,femur,"the femur, which is the longest bone in the human",True,False,HighlyKnown,True,12.8749418258667,True,greedy
ale_19_5_c,control,sample9,I'm curious: Name the largest mammal on Earth.,blue whale | whale,the blue whale (Balaenoptera musculus).,True,False,HighlyKnown,True,20.24978256225586,True,sample
ale_14_5_c,control,sample9,I'm curious: Name the longest bone in the human body.,femur,"the femur, which is the longest bone in the human",True,False,HighlyKnown,True,13.12494945526123,True,sample
ale_08_5_c,control,sample9,I'm curious: Name the continent that contains Brazil.,South America,South America. Brazil is the largest country in South America and,True,False,HighlyKnown,True,9.249994277954102,True,sample
ale_05_2_c,control,sample1,Please answer briefly. Name the largest planet in the solar system.,Jupiter,Jupiter.,True,False,HighlyKnown,True,24.24962043762207,True,sample
ale_18_1_c,control,greedy,In one word: Name the number that comes after 6.,7 | seven,7.,True,False,HighlyKnown,True,19.249723434448242,True,greedy
ale_17_1_c,control,sample8,In one word: Name the colour of a ripe banana.,yellow,yellow.,True,False,HighlyKnown,True,16.999841690063477,True,sample
